ZONE,DISTRICT,SD,COUNTY,TOTHH,HHPOP,TOTPOP,EMPRES,SFDU,MFDU,HHINCQ1,HHINCQ2,HHINCQ3,HHINCQ4,TOTACRE,RESACRE,CIACRE,SHPOP62P,TOTEMP,AGE0004,AGE0519,AGE2044,AGE4564,AGE65P,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN,AGREMPN,MWTEMPN,PRKCST,OPRKCST,AREATYPE,HSENROLL,COLLFTE,COLLPTE,TOPOLOGY,TERMINAL,ZERO,hhlds,sftaz,gqpop
61,2,2,1,1884,4375,4379,2499,442,1442,698,427,453,306,90,54,4,0.24,606,203,499,1527,1227,923,168,151,232,44,0,11,0,0,2,0,0,0,1,2.64236,0,1884,61,4
62,2,2,1,3115,6993,7002,4207,575,2540,783,719,816,797,158,81,11,0.21,1818,373,760,2523,2134,1212,257,562,761,173,0,65,0,0,2,0,0,0,2,3.05259,0,3115,62,9
63,2,2,1,2190,5183,5189,3074,718,1472,534,549,578,529,129,71,5,0.22,737,273,566,1796,1583,971,57,354,207,93,0,26,0,0,2,0,0,0,1,2.48609,0,2190,63,6
64,2,2,1,2757,6528,6533,3696,700,2057,903,663,471,720,146,81,6,0.21,1249,302,774,2422,1856,1179,136,275,504,282,17,35,0,0,2,0,0,0,2,2.80312,0,2757,64,5
65,2,2,1,2371,5217,5244,3088,406,1965,563,693,365,750,136,56,14,0.19,2589,311,522,2068,1510,833,529,882,767,301,0,110,0,0,2,0,0,0,2,3.77151,0,2371,65,27
66,2,2,1,1878,4047,4049,2456,360,1518,648,347,424,459,105,49,15,0.21,2010,189,427,1589,1143,701,300,463,1014,181,25,27,0,0,2,0,0,0,2,3.33197,0,1878,66,2
67,2,2,1,2167,5037,5046,2986,452,1715,645,571,436,515,96,53,7,0.19,1229,239,558,2039,1430,780,185,324,616,68,0,36,0,0,2,0,0,0,2,3.22082,0,2167,67,9
68,2,2,1,1283,2746,2756,1792,277,1006,293,321,274,395,72,34,4,0.18,434,108,215,1302,724,407,37,155,121,105,1,15,0,0,3,0,0,0,1,2.63306,0,1283,68,10
69,2,2,1,2626,5534,7793,4394,612,2014,785,559,630,652,208,97,46,0.15,5712,252,1411,3664,1502,964,328,389,4627,286,1,81,0,0,2,736.80737,5899.61719,1010.29865,1,3.5479,0,2626,69,2259
70,2,2,1,2898,5741,5742,3811,518,2380,714,533,670,981,182,83,29,0.2,5827,299,444,2488,1538,973,643,1335,2714,554,0,581,0,0,1,0,0,0,1,4.01115,0,2898,70,1
71,2,2,1,1902,4017,4211,2386,614,1288,120,149,233,1400,145,72,11,0.22,4274,254,453,1379,1353,772,326,968,2737,221,0,22,0,0,2,0,0,0,1,3.97913,0,1902,71,194
72,2,2,1,993,1973,1998,1463,207,786,232,207,226,328,59,22,14,0.25,1762,57,96,891,515,439,49,307,1229,159,3,15,0,111,1,219.96446,0,0,1,3.9515,0,993,72,25
73,2,2,1,2535,4020,4021,2610,202,2333,890,479,539,627,69,34,9,0.27,1620,92,139,1727,1090,973,218,379,835,169,1,18,69.94286,126.51429,1,0,0,0,1,4.35825,0,2535,73,1
74,2,2,1,2301,3680,3785,1604,72,2229,1127,471,377,326,84,18,24,0.42,4963,117,233,1204,732,1499,154,497,3262,1042,0,8,39.05161,134.38348,1,0,0,0,1,4.45015,0,2301,74,105
75,2,2,1,1751,2496,2606,1466,0,1751,575,346,397,433,44,11,13,0.38,4730,43,62,966,622,913,213,1221,1461,1822,5,8,77.00263,139.28418,1,0,0,0,1,4.82491,0,1751,75,110
76,2,2,1,1738,2615,2630,1329,7,1731,673,340,411,314,41,7,13,0.27,3393,54,84,1062,818,612,81,772,725,1807,0,8,84.79673,139.06664,2,1470.00562,0,0,1,4.60447,0,1738,76,15
77,2,2,1,2417,4522,4528,2348,37,2380,1057,579,458,323,69,15,25,0.26,1208,200,421,1704,1162,1041,86,309,594,209,0,10,75,123,2,0,0,0,1,3.49268,0,2417,77,6
78,2,2,1,2927,5704,5715,2045,260,2667,2017,399,273,238,91,23,9,0.33,632,306,767,1608,1328,1706,8,158,249,217,0,0,75,123,2,0,0,0,2,3.73732,0,2927,78,11
79,2,2,1,1745,2746,2786,1882,63,1682,715,624,265,141,68,9,25,0.11,3981,77,219,1482,786,222,142,538,2441,857,0,3,95,123,1,320.92899,0,0,3,4.27714,0,1745,79,40
80,2,2,1,2117,4359,4443,2759,328,1789,872,437,490,318,59,32,6,0.11,517,213,477,2388,1014,351,11,187,298,6,1,14,80.11364,123.9091,2,0,0,0,1,3.87181,0,2117,80,84
81,2,2,1,3716,6756,6963,4893,276,3440,1191,1045,860,620,110,41,21,0.1,3455,227,474,3997,1778,487,107,835,1509,900,0,104,48,68,1,0,0,0,1,4.29874,0,3716,81,207
82,2,2,1,1696,3109,3112,2268,140,1556,415,403,445,433,76,30,16,0.14,1261,72,97,1762,859,322,268,274,527,177,2,13,48,68,1,0,0,0,1,3.81313,0,1696,82,3
83,2,2,1,2143,3727,3727,2613,566,1577,384,387,495,877,119,60,2,0.17,1247,97,106,1598,1441,485,23,450,658,87,0,29,0,0,3,0,0,0,1,2.79303,0,2143,83,0
84,2,2,1,2318,4663,4737,3532,249,2069,517,526,641,634,117,43,4,0.09,995,139,280,2859,1187,272,102,430,344,68,1,50,52.59912,74.51542,1,0,0,0,1,4.57259,0,2318,84,74
85,2,2,1,1826,3596,3624,2518,87,1739,600,435,463,328,77,26,11,0.16,1061,85,179,2148,714,498,150,213,475,183,1,39,79.41617,122.83034,2,0,0,0,1,3.94608,0,1826,85,28
86,2,2,1,3221,6614,6784,4243,226,2995,1195,731,763,532,125,52,16,0.12,1658,305,791,3254,1792,642,38,185,1270,142,1,22,0,0,2,0,0,0,1,3.65718,0,3221,86,170
87,2,2,1,2363,4785,4984,3349,182,2181,835,595,424,509,93,43,14,0.18,2647,181,249,2629,1159,766,44,522,1982,83,1,15,0,0,2,0,0,0,1,4.39236,0,2363,87,199
88,2,2,1,2500,5050,5122,4027,157,2343,686,518,531,765,85,39,11,0.07,1956,170,207,3305,1214,226,593,484,672,162,0,45,0,0,2,304.09656,0,0,2,4.33578,0,2500,88,72
89,2,2,1,3443,6957,7061,5295,645,2798,550,687,920,1286,150,90,5,0.11,1604,322,472,3704,2021,542,148,450,804,196,0,6,0,0,2,123.80209,0,0,1,2.89849,0,3443,89,104
90,3,3,1,2013,4154,4278,2957,270,1743,496,503,504,510,86,42,9,0.1,6012,172,307,2378,1100,321,179,610,4838,358,0,27,0,0,1,0,0,0,1,7.39823,0,2013,90,124
91,3,3,1,2221,4526,4890,2820,931,1290,480,428,563,750,320,92,101,0.19,6197,331,429,1999,1374,757,65,694,5292,114,0,32,0,0,1,0,3093.81885,0,1,2.71085,0,2221,91,364
92,3,3,1,1014,2177,2189,1029,877,137,257,157,255,345,283,84,75,0.47,2030,70,185,374,600,960,12,165,1422,418,0,13,0,0,3,0,0,0,1,1.68189,0,1014,92,12
93,3,3,1,4032,6911,6912,5100,1026,3006,601,778,1386,1267,227,110,1,0.14,869,151,210,3379,2460,712,58,313,405,76,0,17,0,0,3,0,0,0,1,2.30275,0,4032,93,1
94,3,3,1,1336,2508,2597,1858,285,1051,292,312,331,401,68,36,5,0.14,1230,61,80,1243,945,268,214,253,675,59,0,29,0,61,2,0,0,0,1,3.2729,0,1336,94,89
95,3,3,1,1407,2792,2797,1884,635,772,224,235,365,583,86,51,3,0.14,726,147,203,1189,972,286,58,203,262,184,17,2,0,0,3,0,0,0,1,2.36396,0,1407,95,5
96,3,3,1,1180,2499,2500,1713,541,639,141,234,285,520,75,44,1,0.13,555,146,196,1115,802,241,47,255,186,60,0,7,0,0,3,0,0,0,1,2.38082,0,1180,96,1
97,3,3,1,1633,3296,3298,2250,463,1170,414,257,322,640,84,47,5,0.13,781,190,225,1542,1020,321,167,199,297,97,4,17,0,0,3,0,0,0,1,2.63121,0,1633,97,2
98,3,3,1,1879,3892,3894,2511,535,1344,407,372,475,625,106,60,5,0.13,988,199,271,1816,1235,373,188,350,361,85,4,0,0,0,3,0,0,0,1,2.57861,0,1879,98,2
99,3,3,1,2076,4175,4352,3089,198,1878,576,660,430,410,73,39,4,0.12,622,222,335,2259,1122,414,102,156,266,49,0,49,0,68,2,301.69055,0,0,1,3.25626,0,2076,99,177
100,3,3,1,1848,4576,4644,3088,107,1741,751,484,378,235,80,27,20,0.14,1124,302,624,2115,1076,527,129,149,709,105,0,32,0,68,1,0,0,0,2,3.6207,0,1848,100,68
101,3,3,1,2696,6846,6982,4365,178,2518,1206,657,562,271,87,34,19,0.13,1800,493,1064,3192,1473,760,290,274,868,181,0,187,0,68,1,0,542.37427,93.05787,2,4.61741,0,2696,101,136
102,3,3,1,2811,5313,5360,4006,227,2584,673,789,848,501,81,46,3,0.13,840,183,356,2856,1404,561,95,340,265,101,1,38,0,68,2,0,0,0,1,3.51164,0,2811,102,47
103,3,3,1,2616,4753,4760,3630,619,1997,587,463,726,840,137,67,8,0.14,1017,137,156,2453,1506,508,142,374,425,53,0,23,0,61,2,1032.49268,0,0,1,2.56932,0,2616,103,7
104,3,3,1,1774,3220,3246,2470,101,1673,432,412,474,456,68,25,13,0.12,1643,66,131,1786,982,281,194,145,961,314,4,25,0,62.79637,2,0,0,0,1,4.22027,0,1774,104,26
105,3,3,1,3476,6659,6749,4077,87,3389,1496,829,720,431,80,36,10,0.15,2358,280,624,3258,1744,843,208,358,1063,678,0,51,66.93317,94.822,1,0,0,0,1,4.53714,0,3476,105,90
106,3,3,1,3154,6301,6595,3240,131,3023,1948,537,404,265,110,22,38,0.15,14345,456,955,2697,1720,767,744,1068,3400,8896,0,237,121.43915,172.0388,1,0,0,0,2,4.84937,0,3154,106,294
107,3,3,1,798,1989,2270,1195,68,730,177,273,233,115,223,10,106,0.11,13154,116,289,1097,573,195,1599,2178,2021,5977,11,1368,48,68,1,0,185.21931,0,2,4.1123,0,798,107,281
108,3,3,1,515,943,1056,84,2,513,272,130,15,98,113.7,8,105,0.18,4977,35,98,471,295,157,399,1740,1315,1031,1,491,0,0,2,0,884.45276,117.86848,3,2.94861,0,515,108,113
