observation_id,choice,availability_drive_alone,availability_shared_ride_2,availability_shared_ride_3+,availability_walk_transit_walk,availability_drive_transit_walk,availability_walk_transit_drive,availability_walk,availability_bicycle,household_id,person_id,tour_id,tour_origin_taz,primary_dest_taz,age,household_size,household_income,household_income_values,transit_subsidy,transit_subsidy_amount,cross_bay,total_travel_time_drive_alone,total_travel_time_shared_ride_2,total_travel_time_shared_ride_3+,total_travel_time_walk_transit_walk,total_travel_time_drive_transit_walk,total_travel_time_walk_transit_drive,total_travel_time_walk,total_travel_time_bicycle,total_travel_distance_drive_alone,total_travel_distance_shared_ride_2,total_travel_distance_shared_ride_3+,total_travel_distance_walk,total_travel_distance_bicycle,total_travel_cost_drive_alone,total_travel_cost_shared_ride_2,total_travel_cost_shared_ride_3+,total_travel_cost_walk_transit_walk,total_travel_cost_drive_transit_walk,total_travel_cost_walk_transit_drive,age_ctgry
176,drive_alone,1,1,1,1,1,1,1,1,1462600,1,0,937.0,1018.0,50,3,8,175000.0,0,-1,0,29.92,29.92,29.92,126.05,118.23,80.31,244.0,61.0,11.96,11.96,11.96,12.2,12.2,2.2102,1.263,0.8841,3.22,3.02,3.02,45-64
177,shared_ride_3,1,1,1,1,1,1,1,1,1462600,2,0,937.0,1033.0,48,3,8,175000.0,0,-1,0,35.71,35.71,35.71,142.1,134.45,134.45,318.4,79.6,16.11,16.11,16.11,15.92,15.92,2.9771,1.7013,1.1909,3.22,3.22,3.22,45-64
178,shared_ride_2,1,1,1,1,1,1,1,1,1462600,3,0,937.0,938.0,10,3,8,175000.0,0,-1,0,8.73,8.73,8.73,77.86,57.17,54.58,43.2,10.8,2.16,2.16,2.16,2.16,2.16,0.3992,0.228,0.1596,3.42,3.42,4.83,05-19
179,walk_transit_walk,0,1,1,1,0,1,0,0,1465250,1,0,1023.0,9.0,63,1,8,175000.0,0,-1,1,,39.72,39.72,106.3,,135.37,,,,25.28,25.28,,,,4.5038,3.1527,5.94,,7.35,45-64
180,drive_alone,1,1,1,1,1,1,1,1,1469304,2,0,132.0,175.0,52,4,6,87500.0,0,-1,0,18.37,18.37,18.37,47.85,44.28,44.28,117.6,29.4,5.88,5.88,5.88,5.88,5.88,1.0866,0.621,0.4346,3.22,3.22,3.22,45-64
181,shared_ride_2,1,1,1,1,1,1,1,1,1469304,3,0,132.0,133.0,18,4,6,87500.0,0,-1,0,9.06,9.06,9.06,45.51,36.5,36.94,42.0,10.5,2.1,2.1,2.1,2.1,2.1,0.388,0.2218,0.1552,3.22,3.22,3.22,05-19
182,shared_ride_3,1,1,1,1,1,1,1,0,1471549,2,0,36.0,30.0,50,5,6,87500.0,0,-1,0,18.5,18.5,18.5,41.31,30.34,30.34,56.0,,2.83,2.83,2.83,2.8,,0.523,0.2989,0.2092,3.22,5.63,5.63,45-64
183,walk_transit_walk,1,1,1,1,1,1,1,0,1471549,3,0,36.0,69.0,21,5,6,87500.0,0,-1,0,25.41,25.41,25.41,62.72,51.25,50.11,130.0,,6.53,6.53,6.53,6.5,,1.2049,0.6885,0.4819,3.22,3.22,3.22,20-44
184,walk,1,1,1,1,1,1,1,0,1471549,4,0,36.0,40.0,17,5,6,87500.0,0,-1,0,14.5,14.5,14.5,30.7,19.86,21.3,35.2,,1.76,1.76,1.76,1.76,,0.3252,0.1858,0.13,3.22,3.22,3.22,05-19
185,walk,1,1,1,1,1,1,1,0,1471549,4,1,36.0,33.0,17,5,6,87500.0,0,-1,0,14.31,14.31,14.31,42.66,38.83,34.0,27.6,,1.51,1.51,1.51,1.38,,0.279,0.1595,0.1116,3.22,3.22,8.04,05-19
186,drive_alone,1,1,1,0,0,0,1,1,1475100,2,0,903.0,914.0,53,3,8,175000.0,0,-1,0,23.75,23.75,23.75,,,,259.6,64.9,13.53,13.53,13.53,12.98,12.98,2.5004,1.4287,1.0001,,,,45-64
187,walk_transit_walk,1,1,1,1,1,1,0,0,1479870,2,0,908.0,16.0,42,4,98,117480.978261,0,-1,1,38.11,38.11,38.11,158.07,130.46,111.52,,,27.43,27.43,27.43,,,8.2791,4.7309,3.3116,5.7,7.63,7.62,20-44
188,walk_transit_walk,1,1,1,1,1,1,1,0,1481201,1,0,129.0,1.0,49,2,9,225000.0,0,-1,0,30.41,30.41,30.41,99.22,95.96,85.6,184.6,,9.85,9.85,9.85,9.23,,1.8202,1.0402,0.7281,4.43,3.98,3.22,45-64
189,drive_alone,1,1,1,1,1,1,1,1,1483152,2,0,128.0,142.0,999,6,99,117480.978261,0,-1,0,16.62,16.62,16.62,58.02,45.44,45.44,90.4,22.6,4.8,4.8,4.8,4.52,4.52,0.887,0.5068,0.3548,3.22,3.22,3.22,65+
190,drive_alone,1,1,1,1,1,1,1,1,1483363,2,0,139.0,142.0,50,4,7,125000.0,0,-1,0,10.44,10.44,10.44,57.11,37.94,37.73,33.6,8.4,1.68,1.68,1.68,1.68,1.68,0.3104,0.1774,0.1242,3.22,3.22,3.22,45-64
191,drive_alone,1,1,1,1,1,1,1,1,1483363,2,1,139.0,142.0,50,4,7,125000.0,0,-1,0,10.51,10.51,10.51,57.62,38.24,38.24,33.6,8.4,1.68,1.68,1.68,1.68,1.68,0.3104,0.1774,0.1242,3.22,3.22,3.22,45-64
192,shared_ride_3,1,1,1,1,1,1,1,1,1483363,3,0,139.0,28.0,14,4,7,125000.0,0,-1,0,25.94,25.94,25.94,99.35,78.97,80.2,188.4,47.1,9.73,9.73,9.73,9.42,9.42,1.7981,1.0275,0.7192,3.22,3.22,3.22,05-19
193,shared_ride_3,1,1,1,1,1,1,1,1,1483363,4,0,139.0,49.0,11,4,7,125000.0,0,-1,0,29.02,29.02,29.02,107.81,100.5,100.5,220.2,55.05,11.76,11.76,11.76,11.01,11.01,2.1733,1.2419,0.8693,3.22,3.22,3.22,05-19
194,walk_transit_walk,1,1,1,1,1,1,1,1,1486845,1,0,43.0,1.0,43,1,6,87500.0,0,-1,0,23.78,23.78,23.78,75.55,67.97,78.88,109.0,27.25,6.06,6.06,6.06,5.45,5.45,1.1199,0.6399,0.448,3.22,3.22,3.22,20-44
195,drive_alone,1,1,1,1,1,1,1,1,1487516,1,0,91.0,49.0,56,3,10,275000.0,1,70,0,21.75,21.75,21.75,105.26,89.99,89.99,141.2,35.3,7.37,7.37,7.37,7.06,7.06,1.362,0.7783,0.5447,3.22,3.22,3.22,45-64
196,shared_ride_3,1,1,1,1,1,1,1,1,1487516,3,0,91.0,166.0,17,3,10,275000.0,0,-1,0,22.71,22.71,22.71,127.82,108.6,91.04,150.0,37.5,7.5,7.5,7.5,7.5,7.5,1.386,0.792,0.5544,3.22,5.23,3.22,05-19
197,drive_alone,1,1,1,1,1,1,1,1,1487717,2,0,130.0,110.0,999,2,99,117480.978261,0,-1,0,23.89,23.89,23.89,104.09,78.62,97.55,196.0,49.0,11.98,11.98,11.98,9.8,9.8,2.2139,1.265,0.8856,4.43,5.99,3.82,65+
198,drive_alone,1,1,1,1,1,1,1,1,1487717,2,1,130.0,95.0,999,2,99,117480.978261,0,-1,0,10.67,10.67,10.67,62.83,46.44,47.7,47.2,11.8,2.38,2.38,2.38,2.36,2.36,0.4398,0.2514,0.17600000000000002,3.22,3.22,3.22,65+
199,shared_ride_3,1,1,1,1,1,1,1,1,1488049,1,0,175.0,39.0,49,4,7,125000.0,0,-1,0,33.51,33.51,33.51,99.89,94.06,89.55,219.2,54.8,11.43,11.43,11.43,10.96,10.96,2.1123,1.207,0.8449,3.22,3.22,3.22,45-64
200,drive_alone,1,1,1,1,1,1,1,1,1488049,2,0,175.0,108.0,48,4,7,125000.0,0,-1,0,28.97,28.97,28.97,82.1,74.03,74.1,173.2,43.3,8.7,8.7,8.7,8.66,8.66,1.6078,0.9188,0.6432,3.22,3.22,3.22,45-64
201,walk_transit_walk,0,1,1,1,0,1,1,0,1489809,1,0,76.0,152.0,64,1,2,17500.0,0,-1,0,,26.01,26.01,95.99,,77.82,203.0,,,10.39,10.39,10.15,,,1.0971,0.768,3.22,,3.22,45-64
202,walk_transit_walk,1,1,1,1,1,1,1,0,1489988,2,0,90.0,18.0,26,2,5,62500.0,1,999998,0,32.02,32.02,32.02,97.0,95.21,95.21,175.0,,9.56,9.56,9.56,8.75,,1.7667,1.0095,0.7067,3.22,3.22,3.22,20-44
203,walk_transit_walk,1,1,1,1,1,1,0,0,1491726,1,0,942.0,5.0,36,2,6,87500.0,0,-1,1,38.7,38.7,38.7,90.31,71.32,80.11,,,20.01,20.01,20.01,,,6.9079,3.9473,2.7631,8.0,7.47,8.0,20-44
204,shared_ride_2,1,1,1,0,0,0,1,1,1492560,1,0,911.0,967.0,66,2,10,275000.0,0,-1,0,32.05,32.05,32.05,,,,249.0,62.25,13.15,13.15,13.15,12.45,12.45,2.4301,1.3887,0.9721,,,,65+
205,shared_ride_2,1,1,1,1,1,1,1,1,1493837,1,0,35.0,19.0,40,2,10,275000.0,1,20,0,21.77,21.77,21.77,69.11,56.7,56.0,86.8,21.7,4.38,4.38,4.38,4.34,4.34,0.8094,0.4626,0.3238,3.22,3.22,3.22,20-44
206,walk_transit_walk,1,1,1,1,1,1,1,1,1494422,3,0,998.0,901.0,4,3,10,275000.0,0,-1,0,24.7,24.7,24.7,107.08,98.07,98.25,313.4,78.35,14.76,14.76,14.76,15.67,15.67,2.7277,1.5586,1.0911,3.22,3.42,3.46,0-04
207,bike,1,1,1,1,1,1,1,1,1495689,1,0,1020.0,942.0,53,2,7,125000.0,0,-1,0,31.83,31.83,31.83,101.1,77.63,79.1,218.0,54.5,11.39,11.39,11.39,10.9,10.9,2.2176,1.2672,0.887,5.84,4.23,3.02,45-64
208,walk_transit_walk,1,1,1,1,1,1,0,0,1495689,2,0,1020.0,2.0,53,2,7,125000.0,1,999998,1,48.85,48.85,47.86,100.8,91.78,88.47,,,23.88,23.88,24.75,,,7.5953,4.3402,3.1024,7.55,7.75,7.22,45-64
209,walk,0,1,1,1,0,1,1,0,1497457,1,0,77.0,79.0,75,1,2,17500.0,0,-1,0,,12.63,12.63,47.15,,27.92,35.0,,,1.92,1.92,1.75,,,0.2027,0.142,3.22,,3.22,65+
